900146.5716221001;	cycle,it,executionDll, simulationDll, executionTrainLl, simulationTrainLl,realTrainLl, executionValidLl, realValidLl, executionTestLl, realTestLl
906056.706097516;	0.0,36.0,98.86995507623396,98.86995507623419,-377355.04037246964,-377355.04037246964,-377355.04037246964,-75392.8234060102,-75392.8234060102,0.0,0.0
906177.878778817;	0.0,37.0,118.71760607341321,118.71760607341321,-377236.3227663963,-377236.3227663963,-377236.3227663963,-75360.98098493228,-75360.98098493228,0.0,0.0
906266.7007748011;	0.0,38.0,226.377621131061,226.377621131061,-377009.94514526526,-377009.94514526526,-377009.94514526526,-75323.0180717018,-75323.0180717018,0.0,0.0
906332.9878790941;	0.0,39.0,736.5400067251921,736.5400067251921,-376273.40513854,-376273.40513854,-376273.40513854,-75179.59662837588,-75179.59662837588,0.0,0.0
906553.2187311751;	0.0,40.0,4216.048322137544,4216.048322137544,-372057.3568164025,-372057.3568164025,-372057.3568164025,-74350.77423066917,-74350.77423066917,0.0,0.0
906702.661240768;	0.0,41.0,227.43432804144697,227.43432804144697,-371829.922488361,-371829.922488361,-371829.922488361,-74311.06842750106,-74311.06842750106,0.0,0.0
906727.3618259281;	0.0,42.0,1482.8675762093453,1482.8675762093453,-370347.05491215165,-370347.05491215165,-370347.05491215165,-73992.10381060405,-73992.10381060405,0.0,0.0
906935.6133322541;	0.0,43.0,256.621454466636,256.621454466636,-370090.43345768505,-370090.43345768505,-370090.43345768505,-73950.30413866015,-73950.30413866015,0.0,0.0
906940.7527703381;	0.0,44.0,172.80392231334008,172.80392231334008,-369917.6295353717,-369917.6295353717,-369917.6295353717,-73924.96543884817,-73924.96543884817,0.0,0.0
906953.1575703471;	0.0,45.0,539.6578373935222,539.6578373935222,-369377.97169797815,-369377.97169797815,-369377.97169797815,-73808.4124451328,-73808.4124451328,0.0,0.0
906995.9914889081;	0.0,46.0,248.33707209047907,248.33707209047907,-369129.6346258877,-369129.6346258877,-369129.6346258877,-73750.21443596191,-73750.21443596191,0.0,0.0
907016.383427339;	0.0,47.0,176.25310210526698,176.25310210526698,-368953.38152378233,-368953.38152378233,-368953.38152378233,-73706.97469826588,-73706.97469826588,0.0,0.0
907034.9779874751;	0.0,48.0,279.02127408630463,279.0212740863038,-368674.360249696,-368674.360249696,-368674.360249696,-73648.82475907804,-73648.82475907804,0.0,0.0
