517776.142281352;	cycle,it,executionDll, simulationDll, executionTrainLl, simulationTrainLl,realTrainLl, executionValidLl, realValidLl, executionTestLl, realTestLl
525815.455853816;	0.0,32.0,12303.12061079537,12303.12061079537,-1.0561559368407438E7,-1.0561559368407438E7,-1.0561559368407438E7,-2641961.1296488275,-2641961.1296488275,0.0,0.0
525841.284640761;	0.0,33.0,12300.806488815499,12300.806488815499,-1.0549258561918624E7,-1.0549258561918624E7,-1.0549258561918624E7,-2638944.6363936253,-2638944.6363936253,0.0,0.0
525868.186952559;	0.0,34.0,36866.768849635584,36866.7688496356,-1.0512391793068992E7,-1.0512391793068992E7,-1.0512391793068992E7,-2629848.9843765902,-2629848.9843765902,0.0,0.0
525923.392590208;	0.0,35.0,12248.739196879698,12248.739196879698,-1.050014305387211E7,-1.050014305387211E7,-1.050014305387211E7,-2626686.689576649,-2626686.689576649,0.0,0.0
525951.569617314;	0.0,36.0,12243.90725277366,12243.90725277366,-1.0487899146619337E7,-1.0487899146619337E7,-1.0487899146619337E7,-2623579.9194060345,-2623579.9194060345,0.0,0.0
525979.023523316;	0.0,37.0,12178.924297397662,12178.924297397662,-1.0475720222321939E7,-1.0475720222321939E7,-1.0475720222321939E7,-2620565.9110837663,-2620565.9110837663,0.0,0.0
526004.2522344671;	0.0,38.0,12124.139767045319,12124.139767045319,-1.0463596082554895E7,-1.0463596082554895E7,-1.0463596082554895E7,-2617464.570676658,-2617464.570676658,0.0,0.0
526033.985361989;	0.0,39.0,12115.110858693912,12115.110858693912,-1.0451480971696202E7,-1.0451480971696202E7,-1.0451480971696202E7,-2614518.6181844654,-2614518.6181844654,0.0,0.0
526062.1341284451;	0.0,40.0,12098.66926318004,12098.66926318004,-1.0439382302433021E7,-1.0439382302433021E7,-1.0439382302433021E7,-2611364.3505382226,-2611364.3505382226,0.0,0.0
526118.610680519;	0.0,41.0,12070.657416366907,12070.657416366907,-1.042731164501665E7,-1.042731164501665E7,-1.042731164501665E7,-2608241.289044797,-2608241.289044797,0.0,0.0
526147.636466208;	0.0,42.0,12059.08889859173,12059.08889859173,-1.0415252556118058E7,-1.0415252556118058E7,-1.0415252556118058E7,-2605233.354505642,-2605233.354505642,0.0,0.0
526176.7268890691;	0.0,43.0,12047.340981441474,12047.340981441474,-1.0403205215136617E7,-1.0403205215136617E7,-1.0403205215136617E7,-2602016.621968111,-2602016.621968111,0.0,0.0
526229.579989969;	0.0,44.0,11979.670824635348,11979.670824635348,-1.0391225544311982E7,-1.0391225544311982E7,-1.0391225544311982E7,-2598991.4035346475,-2598991.4035346475,0.0,0.0
526255.947085279;	0.0,45.0,11973.40772977833,11973.40772977833,-1.0379252136582201E7,-1.0379252136582201E7,-1.0379252136582201E7,-2596095.014533368,-2596095.014533368,0.0,0.0
526283.592108297;	0.0,46.0,35762.725293053285,35762.725293053285,-1.0343489411289148E7,-1.0343489411289148E7,-1.0343489411289148E7,-2586997.2154622367,-2586997.2154622367,0.0,0.0
526338.4083173351;	0.0,47.0,11814.650603116268,11814.650603116268,-1.033167476068603E7,-1.033167476068603E7,-1.033167476068603E7,-2584160.4852948454,-2584160.4852948454,0.0,0.0
526365.812726603;	0.0,48.0,11764.914215710276,11764.914215710276,-1.0319909846470317E7,-1.0319909846470317E7,-1.0319909846470317E7,-2581371.7589780577,-2581371.7589780577,0.0,0.0
526393.598816097;	0.0,49.0,11738.040589094682,11738.040589094682,-1.0308171805881219E7,-1.0308171805881219E7,-1.0308171805881219E7,-2578478.842451812,-2578478.842451812,0.0,0.0
526420.598042645;	0.0,50.0,11722.889899965765,11722.889899965765,-1.0296448915981252E7,-1.0296448915981252E7,-1.0296448915981252E7,-2575613.8611225327,-2575613.8611225327,0.0,0.0
526447.782769882;	0.0,51.0,34945.67317707997,34945.67317707998,-1.0261503242804172E7,-1.0261503242804172E7,-1.0261503242804172E7,-2566838.8162054997,-2566838.8162054997,0.0,0.0
526501.117449971;	0.0,52.0,11613.157551362769,11613.157551362769,-1.0249890085252808E7,-1.0249890085252808E7,-1.0249890085252808E7,-2564022.2936261245,-2564022.2936261245,0.0,0.0
526531.0954254761;	0.0,53.0,34815.24033154802,34815.24033154802,-1.0215074844921257E7,-1.0215074844921257E7,-1.0215074844921257E7,-2555194.8688769317,-2555194.8688769317,0.0,0.0
526710.53560044;	0.0,54.0,34589.01380477365,34589.013804773655,-1.0180485831116486E7,-1.0180485831116486E7,-1.0180485831116486E7,-2546680.073815571,-2546680.073815571,0.0,0.0
526769.1249433251;	0.0,55.0,34532.23118487012,34532.23118487011,-1.0145953599931616E7,-1.0145953599931616E7,-1.0145953599931616E7,-2538057.2200003075,-2538057.2200003075,0.0,0.0
526831.362721157;	0.0,56.0,11467.163604358488,11467.163604358488,-1.0134486436327256E7,-1.0134486436327256E7,-1.0134486436327256E7,-2535171.311195013,-2535171.311195013,0.0,0.0
526863.268806992;	0.0,57.0,34372.19722069637,34372.197220696355,-1.0100114239106558E7,-1.0100114239106558E7,-1.0100114239106558E7,-2526504.6434513032,-2526504.6434513032,0.0,0.0
526919.570515961;	0.0,58.0,11426.735823274506,11426.735823274506,-1.0088687503283283E7,-1.0088687503283283E7,-1.0088687503283283E7,-2523587.026245518,-2523587.026245518,0.0,0.0
